Device,Category,Price (INR),Age (months),Physical Condition,Performance,Surface Wear,Internal Damage,Accessories Condition,Repair Cost (INR),Resale Price (INR)
HP Printer,Printer,80316,32,0,2,4,3,3,29400,70921
MacBook Pro,Laptop,27607,32,1,5,0,0,2,17600,31438
Sony PlayStation,Gaming Console,186249,38,3,3,0,2,0,22000,143237
Samsung TV,TV,182279,54,5,4,5,3,5,43500,107421
Dell Laptop,Laptop,9486,36,0,2,2,3,2,25600,19630
Samsung Refrigerator,Appliance,9618,41,2,4,3,1,3,25900,19442
HP Printer,Printer,185282,18,2,0,3,3,1,22300,150112
Sony Headphones,Audio,108233,24,1,4,0,0,4,16200,101180
Apple Watch,Wearable,156250,32,0,0,3,2,4,17700,124475
LG Microwave,Appliance,6609,58,5,4,3,0,3,23900,15585
Sony PlayStation,Gaming Console,4664,44,5,4,3,1,1,27300,16448
Asus ZenBook,Laptop,77472,26,4,2,5,0,5,21500,64206
iPhone 13,Phone,23034,55,1,3,3,0,2,16100,22907
Sharp LED,TV,149081,49,0,0,5,1,1,13300,101316
Microsoft Xbox,Gaming Console,53430,53,2,4,5,5,0,46500,49698
Asus ZenBook,Laptop,35894,22,4,4,1,1,0,22500,38888
Panasonic VCR,Appliance,40080,11,0,3,0,1,5,18000,46074
Sony PlayStation,Gaming Console,54623,49,3,1,2,3,2,25600,45301
Samsung TV,TV,97633,30,2,4,5,2,1,32300,81564
Samsung TV,TV,175973,45,1,5,5,1,0,28500,125993
Dell Laptop,Laptop,193642,27,5,1,1,5,1,35300,142549
Samsung TV,TV,131716,10,3,0,2,0,5,10000,116959
Canon DSLR,Camera,60486,18,2,1,2,1,2,14600,56294
LG Microwave,Appliance,177901,54,5,5,3,5,4,52700,109963
Bose Speaker,Audio,39481,45,2,4,5,5,0,46500,44372
Sharp LED,TV,55398,21,1,1,4,4,4,33200,56210
Samsung Refrigerator,Appliance,131281,6,2,3,2,0,5,18000,125840
HP Printer,Printer,139967,7,0,5,0,5,5,44000,143071
Sony PlayStation,Gaming Console,77476,36,2,3,1,0,2,14100,65932
HP Printer,Printer,156294,30,2,0,3,1,5,15500,121845
Sony PlayStation,Gaming Console,5753,1,1,2,5,3,0,29500,19439
HP Printer,Printer,88921,29,2,4,2,1,2,23600,78935
Samsung TV,TV,74067,23,4,5,1,3,4,38700,73049
Samsung TV,TV,130784,60,4,1,1,1,4,16700,84205
GoPro Camera,Camera,33458,41,0,1,2,4,2,27600,36384
Samsung TV,TV,167198,31,3,4,5,1,0,27500,124937
GoPro Camera,Camera,94095,37,3,5,2,5,0,46000,80868
Samsung TV,TV,116326,4,2,1,3,2,3,21900,108664
Microsoft Xbox,Gaming Console,165520,47,3,4,0,2,0,25000,122571
Xiaomi Tablet,Tablet,84077,43,0,1,5,1,2,17100,64461
Samsung TV,TV,147315,50,0,0,4,0,0,6000,101701
iPhone 13,Phone,24830,12,0,5,3,5,2,46100,42417
iPhone 13,Phone,128118,39,4,0,0,1,2,10600,95623
Philips Air Purifier,Appliance,158164,50,4,1,0,4,5,31000,108817
Samsung TV,TV,5555,15,3,1,3,5,3,37900,22866
Samsung Refrigerator,Appliance,107834,13,0,3,0,1,5,18000,107668
Apple Watch,Wearable,130754,15,5,5,1,1,3,28900,117092
Samsung TV,TV,156608,27,4,0,1,3,5,24500,122659
MacBook Pro,Laptop,60840,16,5,2,4,0,0,17000,53522
Microsoft Xbox,Gaming Console,60504,21,4,0,2,3,4,25200,55860
Dell Laptop,Laptop,175591,53,2,3,3,2,3,27900,118427
Philips Air Purifier,Appliance,26749,36,4,1,3,1,3,18900,27104
Sony Headphones,Audio,157488,53,3,2,2,2,3,24400,105905
Sharp LED,TV,128692,36,5,3,1,5,1,41300,97865
Bose Speaker,Audio,149778,6,5,4,4,3,0,38000,128338
Lenovo Monitor,Monitor,17382,41,3,3,1,1,2,20100,22130
LG Microwave,Appliance,105253,55,1,3,4,4,0,36000,75363
HP Printer,Printer,149936,7,0,2,0,0,2,7600,148488
Lenovo Monitor,Monitor,135853,16,1,4,0,3,1,28800,128517
Xiaomi Tablet,Tablet,70954,1,2,0,1,0,2,5100,68892
Canon DSLR,Camera,67115,31,1,2,4,4,4,36200,62731
LG Microwave,Appliance,165654,55,0,1,0,1,5,12000,122786
HP Printer,Printer,127790,46,0,2,0,5,1,31800,101519
iPhone 13,Phone,154485,42,4,2,5,3,1,33300,101617
Xiaomi Tablet,Tablet,135033,33,1,0,3,0,3,7900,105900
LG Microwave,Appliance,186547,48,5,0,5,4,2,34100,106593
HP Printer,Printer,186963,52,4,3,3,1,0,22500,119689
MacBook Pro,Laptop,149917,7,3,3,2,2,1,25800,136582
Xiaomi Tablet,Tablet,103107,27,3,3,2,2,1,25800,87653
Panasonic VCR,Appliance,137744,14,0,2,1,0,4,10700,130697
Asus ZenBook,Laptop,26710,26,5,5,0,1,4,28200,34132
GoPro Camera,Camera,92004,60,1,0,2,4,5,28000,65522
Dell Laptop,Laptop,50638,12,1,1,3,3,3,25900,53460
Xiaomi Tablet,Tablet,9855,2,3,5,4,2,5,38000,26983
Panasonic VCR,Appliance,73576,8,4,1,1,4,4,31700,73239
Apple Watch,Wearable,154831,53,0,0,1,3,4,19700,111264
Samsung Refrigerator,Appliance,116838,14,4,3,2,5,5,45000,105455
Sony PlayStation,Gaming Console,22011,25,2,5,5,3,0,39500,34607
Canon DSLR,Camera,78336,25,3,4,1,4,0,36500,74260
Samsung TV,TV,150056,46,1,4,1,5,2,41100,115085
Dell Laptop,Laptop,198814,35,0,3,5,3,0,31500,147961
Microsoft Xbox,Gaming Console,174693,39,5,2,0,4,1,31800,125083
iPhone 13,Phone,147008,45,0,2,0,4,1,26800,115571
Asus ZenBook,Laptop,134617,2,2,3,3,1,0,20500,127367
Bose Speaker,Audio,36054,44,5,3,5,4,5,45500,40777
Sony PlayStation,Gaming Console,66054,12,1,4,3,5,1,43300,71851
GoPro Camera,Camera,40999,60,2,0,4,5,2,34600,36980
GoPro Camera,Camera,92510,57,3,0,1,1,3,11900,62844
Asus ZenBook,Laptop,96237,15,4,2,5,0,0,17500,80447
Bose Speaker,Audio,112461,7,5,4,3,2,0,31500,101783
Samsung TV,TV,96572,29,0,4,3,0,1,17300,85425
Microsoft Xbox,Gaming Console,93228,19,0,2,2,1,5,18000,87778
Apple Watch,Wearable,133136,2,0,0,2,3,2,19600,128291
Xiaomi Tablet,Tablet,143864,51,4,2,1,4,5,35500,99033
GoPro Camera,Camera,125103,44,4,0,3,5,2,35100,85106
Lenovo Monitor,Monitor,73127,33,3,1,5,2,0,23500,58186
Apple Watch,Wearable,166744,43,2,4,5,2,1,32300,117030
Panasonic VCR,Appliance,30997,6,4,0,2,5,4,35200,40848
Panasonic VCR,Appliance,155585,54,0,0,2,0,1,3800,109254
Microsoft Xbox,Gaming Console,194801,34,2,0,3,1,1,12300,144459
Apple Watch,Wearable,96705,2,4,4,5,3,5,42500,93779
Bose Speaker,Audio,192952,48,3,2,4,3,2,31600,123853
LG Microwave,Appliance,47220,40,5,5,1,4,5,45500,51082
Samsung Refrigerator,Appliance,75725,14,3,5,3,5,3,49900,78715
Canon DSLR,Camera,115220,9,0,4,0,5,2,38600,117813
Philips Air Purifier,Appliance,187038,40,2,2,3,4,0,32500,132214
HP Printer,Printer,148149,32,5,5,5,3,0,42500,107176
Samsung Refrigerator,Appliance,188567,32,1,1,2,3,3,24400,147968
MacBook Pro,Laptop,115788,19,0,0,4,3,4,24200,100678
Samsung TV,TV,79730,10,2,5,2,3,2,36600,82881
Apple Watch,Wearable,112096,45,2,3,0,2,5,25000,90407
Xiaomi Tablet,Tablet,160077,4,5,1,5,4,2,37100,130604
Philips Air Purifier,Appliance,124691,48,3,1,2,2,4,22200,88408
Bose Speaker,Audio,194723,6,2,5,5,2,2,36100,171881
Asus ZenBook,Laptop,179417,33,1,1,2,5,0,32000,137106
Microsoft Xbox,Gaming Console,6286,21,3,4,4,4,0,41000,24743
GoPro Camera,Camera,4116,53,4,2,1,4,1,32300,18434
Canon DSLR,Camera,57938,17,3,0,1,1,0,9500,51969
Samsung TV,TV,188184,5,4,1,5,0,5,18500,158856
Sony Headphones,Audio,180187,21,2,5,2,4,3,42400,153637
GoPro Camera,Camera,31100,43,1,0,2,2,1,14800,28704
Bose Speaker,Audio,155257,20,0,3,0,3,1,24800,142816
Xiaomi Tablet,Tablet,17737,5,2,4,0,3,2,30600,30820
Xiaomi Tablet,Tablet,48507,9,0,4,4,3,4,36200,57633
Apple Watch,Wearable,93075,3,5,2,1,2,0,22500,88037
Panasonic VCR,Appliance,182463,57,3,3,4,5,5,47000,110170
Lenovo Monitor,Monitor,160052,42,3,2,2,0,4,15200,118036
Samsung Refrigerator,Appliance,29413,32,5,3,4,2,0,30000,33236
LG Microwave,Appliance,42751,5,4,0,3,2,0,18500,43237
Lenovo Monitor,Monitor,103184,4,3,2,1,2,0,20500,98988
Samsung Refrigerator,Appliance,102274,44,1,4,5,3,1,36300,79514
Panasonic VCR,Appliance,118429,50,0,4,4,5,1,43800,89405
Apple Watch,Wearable,60099,47,1,1,4,5,4,38200,53056
Sony Headphones,Audio,71082,51,2,2,1,5,1,35300,59233
Apple Watch,Wearable,171753,15,5,2,3,4,0,35500,135401
iPhone 13,Phone,163856,1,0,1,5,3,2,27100,150370
Bose Speaker,Audio,80485,26,4,3,1,2,4,27700,72604
Asus ZenBook,Laptop,21335,27,1,0,4,1,4,15200,23495
iPhone 13,Phone,178128,36,1,0,1,5,3,29900,136077
Sony Headphones,Audio,164913,15,1,0,0,1,0,6000,148948
LG Microwave,Appliance,64566,20,4,2,4,3,0,31000,59405
GoPro Camera,Camera,191367,25,3,0,5,1,0,15500,140750
Asus ZenBook,Laptop,179418,21,5,5,2,1,1,28800,146272
Sony PlayStation,Gaming Console,66602,46,2,4,0,5,0,39000,61459
Samsung Refrigerator,Appliance,106061,24,2,1,4,2,5,25000,88864
GoPro Camera,Camera,92194,18,4,1,3,3,0,26500,78708
MacBook Pro,Laptop,82181,21,1,1,1,0,1,6300,73415
Bose Speaker,Audio,37034,60,5,2,0,0,2,12600,28520
Xiaomi Tablet,Tablet,103869,32,0,4,1,2,5,27500,94768
MacBook Pro,Laptop,65294,36,0,2,4,5,2,38600,61088
Samsung Refrigerator,Appliance,197907,20,1,4,1,5,1,40300,170559
Xiaomi Tablet,Tablet,140716,53,2,5,5,4,5,48500,96719
Sony Headphones,Audio,137899,8,0,4,2,5,1,40800,133477
Apple Watch,Wearable,138093,47,1,4,5,0,5,24500,101320
Asus ZenBook,Laptop,58474,23,3,2,4,3,3,32400,56255
Asus ZenBook,Laptop,22257,15,5,3,1,2,1,26300,30177
Panasonic VCR,Appliance,60460,38,3,1,5,2,2,25100,49431
iPhone 13,Phone,161256,51,0,0,1,1,4,9700,118535
iPhone 13,Phone,64715,15,0,5,1,4,3,38900,72840
Lenovo Monitor,Monitor,92386,30,3,2,0,0,5,13000,79485
LG Microwave,Appliance,137447,44,3,1,0,0,3,8400,103162
Lenovo Monitor,Monitor,196265,44,5,5,2,0,5,27000,139110
Sony Headphones,Audio,146096,32,4,4,2,0,1,19800,115089
Philips Air Purifier,Appliance,144945,9,0,3,3,5,1,39300,134881
Philips Air Purifier,Appliance,160880,51,3,5,0,5,5,47000,117615
MacBook Pro,Laptop,31965,5,5,2,1,2,3,24900,38501
LG Microwave,Appliance,94231,60,3,3,1,0,3,15900,66373
Canon DSLR,Camera,20168,54,2,0,3,3,1,22300,22646
Xiaomi Tablet,Tablet,170965,52,1,2,3,1,4,19700,119268
MacBook Pro,Laptop,12331,27,2,5,2,5,1,45800,31347
LG Microwave,Appliance,111749,50,1,4,5,1,0,25500,80917
Sharp LED,TV,114282,46,3,4,4,3,1,36800,83541
Panasonic VCR,Appliance,166570,30,0,1,3,0,1,8300,135740
iPhone 13,Phone,56983,59,4,1,1,4,1,29300,44566
Asus ZenBook,Laptop,53540,54,4,4,5,3,5,42500,47485
GoPro Camera,Camera,159498,41,4,4,2,5,3,46400,114911
Philips Air Purifier,Appliance,79360,56,5,2,4,0,5,21000,53354
Sharp LED,TV,119683,51,2,5,5,4,4,47700,86684
Apple Watch,Wearable,154666,56,4,1,2,0,2,11600,98600
LG Microwave,Appliance,113407,56,5,5,1,2,0,31500,79258
Asus ZenBook,Laptop,126449,31,0,2,1,5,0,32500,107926
Sony Headphones,Audio,172532,37,5,3,1,0,2,17100,128460
Panasonic VCR,Appliance,11115,57,0,1,3,0,1,8300,11430
Philips Air Purifier,Appliance,64685,52,3,0,2,4,2,27600,50024
Sharp LED,TV,31317,9,4,3,4,0,2,20600,35197
Panasonic VCR,Appliance,182124,3,4,5,2,0,3,24400,169737
Sharp LED,TV,154414,15,0,5,2,1,5,27000,147068
Panasonic VCR,Appliance,109616,44,4,1,0,1,2,13600,81339
Bose Speaker,Audio,135904,28,3,5,3,5,2,49100,111529
Xiaomi Tablet,Tablet,78005,27,4,5,0,4,2,40600,75294
Sony Headphones,Audio,63652,6,1,5,4,1,5,31000,69604
Philips Air Purifier,Appliance,126395,52,5,5,2,2,4,36200,88881
Canon DSLR,Camera,100502,49,3,0,5,1,4,18700,67139
iPhone 13,Phone,132481,17,2,4,5,3,0,36500,112974
Philips Air Purifier,Appliance,120286,39,5,2,5,3,4,36700,83906
Microsoft Xbox,Gaming Console,187461,26,5,1,4,1,4,22200,136699
Apple Watch,Wearable,87925,58,1,1,3,4,3,30900,63809
Xiaomi Tablet,Tablet,119084,41,0,4,1,4,4,36700,101113
Sony PlayStation,Gaming Console,150913,9,3,3,3,5,2,43100,132471
Bose Speaker,Audio,193003,1,0,1,5,2,3,22900,176468
Sony PlayStation,Gaming Console,60917,45,0,4,5,5,5,48500,59277
Panasonic VCR,Appliance,96883,13,1,1,2,4,3,29400,91722
Asus ZenBook,Laptop,54486,60,1,2,1,2,2,20100,43831
Bose Speaker,Audio,64029,5,5,4,5,4,1,45300,67150
Sony Headphones,Audio,65314,35,3,1,1,2,2,19100,55596
Apple Watch,Wearable,37135,25,5,2,5,4,5,42500,43345
Asus ZenBook,Laptop,64369,57,4,1,1,1,0,13500,45050
Asus ZenBook,Laptop,72792,9,0,1,1,1,0,9500,71355
Lenovo Monitor,Monitor,95152,21,4,1,1,2,4,21700,82690
Sony PlayStation,Gaming Console,144279,18,5,5,5,5,5,56500,116260
Asus ZenBook,Laptop,170236,9,0,4,3,2,1,27300,159202
Sony Headphones,Audio,112686,20,2,5,1,0,5,22500,105906
Sharp LED,TV,83250,25,0,3,1,3,4,28700,80534
Canon DSLR,Camera,169309,4,2,5,3,4,5,45500,158197
Panasonic VCR,Appliance,36500,59,2,5,0,2,5,31000,38312
Lenovo Monitor,Monitor,183248,8,4,3,5,5,3,47900,148559
Bose Speaker,Audio,116855,31,5,3,1,5,1,41300,93684
Lenovo Monitor,Monitor,89838,56,4,1,1,5,0,33500,63466
MacBook Pro,Laptop,149838,23,5,3,2,4,3,39400,119342
Dell Laptop,Laptop,191090,37,5,0,2,4,2,29600,128499
MacBook Pro,Laptop,176240,28,0,4,2,2,4,28200,151567
Apple Watch,Wearable,22969,58,5,0,0,5,1,30800,27114
Xiaomi Tablet,Tablet,26499,19,2,2,4,5,0,39000,37652
Sony PlayStation,Gaming Console,114433,9,4,4,1,0,4,20700,108190
Philips Air Purifier,Appliance,55403,10,0,4,3,4,0,36500,63126
Sharp LED,TV,134437,55,1,1,2,1,2,13600,93512
MacBook Pro,Laptop,114673,20,0,4,4,1,0,23000,103238
Microsoft Xbox,Gaming Console,4593,8,2,4,5,1,3,28900,18124
iPhone 13,Phone,104149,42,3,3,2,1,1,20800,80180
Sony Headphones,Audio,87070,37,3,2,0,0,3,11400,71438
Canon DSLR,Camera,130365,51,3,4,5,4,1,43300,87484
GoPro Camera,Camera,35276,53,0,2,3,3,3,27900,35645
Apple Watch,Wearable,111649,45,5,3,2,0,0,17000,79397
Sony Headphones,Audio,18168,13,4,0,2,2,2,18600,23380
HP Printer,Printer,52149,42,0,5,1,1,0,21500,49862
Samsung Refrigerator,Appliance,146562,31,5,1,4,3,0,29000,103170
Asus ZenBook,Laptop,195083,15,1,4,0,1,4,21200,183248
Canon DSLR,Camera,198988,47,5,2,3,0,2,17100,128938
Canon DSLR,Camera,138744,40,4,3,1,0,4,17700,105971
Dell Laptop,Laptop,18308,11,0,1,4,3,2,25600,27538
LG Microwave,Appliance,59530,6,0,1,0,3,4,21200,64772
Dell Laptop,Laptop,153281,53,5,4,0,2,5,31000,106702
Panasonic VCR,Appliance,135555,30,1,0,3,0,1,6300,107527
GoPro Camera,Camera,197713,54,3,2,5,5,5,45500,115675
Sony Headphones,Audio,29731,7,4,4,0,2,4,29200,39723
Xiaomi Tablet,Tablet,150414,37,0,5,5,0,0,22500,118796
Panasonic VCR,Appliance,56942,11,4,2,0,5,5,39000,63061
Panasonic VCR,Appliance,21585,28,0,0,3,0,0,4500,19518
Microsoft Xbox,Gaming Console,123734,7,2,5,0,5,3,44400,124281
GoPro Camera,Camera,118979,41,1,2,3,0,3,13900,92020
LG Microwave,Appliance,179949,39,1,0,3,3,4,23700,131516
GoPro Camera,Camera,65254,36,5,3,3,4,0,38500,57097
Samsung Refrigerator,Appliance,19237,16,1,3,3,2,2,26100,28440
Sony PlayStation,Gaming Console,138511,13,2,4,4,5,2,46600,122335
MacBook Pro,Laptop,196061,50,5,2,1,5,4,40700,124262
Panasonic VCR,Appliance,138297,10,3,5,2,2,1,31800,127921
Bose Speaker,Audio,97879,20,1,2,4,2,3,25400,87088
HP Printer,Printer,126352,18,0,1,1,1,2,11100,115476
GoPro Camera,Camera,85870,14,3,2,5,1,1,22300,75552
GoPro Camera,Camera,21906,32,2,3,2,3,1,29800,30234
Bose Speaker,Audio,74228,44,5,3,5,3,1,37300,57249
Samsung Refrigerator,Appliance,140937,12,0,4,5,1,0,24500,127818
Canon DSLR,Camera,82462,14,4,1,2,5,5,39000,78048
MacBook Pro,Laptop,148441,7,3,0,5,4,4,33700,124470
MacBook Pro,Laptop,69642,50,2,5,3,1,5,30500,59124
GoPro Camera,Camera,194423,16,0,1,3,5,5,36500,166011
Asus ZenBook,Laptop,62629,55,5,5,0,4,2,41600,54933
MacBook Pro,Laptop,168370,4,4,3,3,3,2,34100,148379
MacBook Pro,Laptop,156543,49,0,2,5,3,4,31700,108993
MacBook Pro,Laptop,31074,6,4,5,4,0,0,25000,37670
Asus ZenBook,Laptop,168458,32,2,3,4,5,3,44400,126644
Xiaomi Tablet,Tablet,109554,34,0,3,0,0,4,12200,97030
Bose Speaker,Audio,69929,19,5,4,4,3,3,40400,66703
Sony Headphones,Audio,153935,36,1,3,0,0,3,12400,129348
Xiaomi Tablet,Tablet,113538,50,2,4,1,2,5,29500,88550
LG Microwave,Appliance,15200,57,2,0,3,3,4,24700,20786
HP Printer,Printer,64301,41,3,1,4,5,3,39400,55387
Bose Speaker,Audio,36266,30,4,3,2,3,5,35000,41798
Panasonic VCR,Appliance,86092,7,0,0,1,0,0,1500,82107
Xiaomi Tablet,Tablet,31476,5,0,5,4,2,4,34200,44012
LG Microwave,Appliance,6494,31,3,4,4,4,4,44200,26159
Sharp LED,TV,24892,23,2,5,5,0,2,26100,31595
Bose Speaker,Audio,146660,42,3,2,3,3,4,31700,105313
Philips Air Purifier,Appliance,167624,60,5,1,0,1,3,15400,104922
iPhone 13,Phone,24371,32,5,3,0,1,0,19000,27047
Sharp LED,TV,46928,39,1,0,1,4,3,24900,44596
GoPro Camera,Camera,72680,45,0,1,4,3,2,25600,58952
Xiaomi Tablet,Tablet,99571,43,2,4,1,4,2,37100,82773
Canon DSLR,Camera,84439,3,3,0,2,4,0,26000,80973
MacBook Pro,Laptop,56975,39,4,3,1,0,0,14500,47417
Philips Air Purifier,Appliance,51430,5,5,0,2,4,4,31200,54430
GoPro Camera,Camera,134240,25,2,1,0,2,4,18200,115821
iPhone 13,Phone,70234,19,2,4,4,0,5,24000,67134
Sony PlayStation,Gaming Console,24338,48,1,2,2,2,4,23200,27663
Philips Air Purifier,Appliance,168227,32,3,4,4,3,1,36800,126065
iPhone 13,Phone,181961,52,2,0,4,5,4,36200,112720
Sony PlayStation,Gaming Console,130808,51,0,1,3,1,5,16500,95237
Samsung TV,TV,19507,19,4,5,1,1,5,29500,30063
Apple Watch,Wearable,145501,55,4,0,3,0,5,12500,91368
GoPro Camera,Camera,110226,38,2,1,5,4,5,36500,83283
GoPro Camera,Camera,129706,13,3,2,0,1,1,14800,118299
MacBook Pro,Laptop,178564,26,1,4,1,1,5,23500,156387
HP Printer,Printer,40112,32,5,3,5,4,3,43900,44413
iPhone 13,Phone,165076,17,5,1,4,1,3,21400,128729
Samsung TV,TV,22376,14,3,2,2,2,3,24400,29877
Canon DSLR,Camera,73431,32,4,1,5,2,4,27700,59377
Sharp LED,TV,82414,53,5,4,1,1,5,27500,62786
HP Printer,Printer,48029,24,2,0,3,0,5,10500,42713
Xiaomi Tablet,Tablet,156942,38,4,1,3,2,2,23100,110423
Sony Headphones,Audio,19421,52,2,4,0,0,1,14800,20995
Xiaomi Tablet,Tablet,5574,60,5,5,1,0,4,24700,15583
Samsung Refrigerator,Appliance,155690,27,5,0,2,2,1,18800,116048
Samsung Refrigerator,Appliance,94684,45,0,4,0,1,5,21000,81986
Asus ZenBook,Laptop,96515,25,0,3,2,2,3,24400,88929
LG Microwave,Appliance,70390,4,1,3,3,5,4,42700,77662
LG Microwave,Appliance,123392,60,2,3,4,2,0,27000,80132
Samsung Refrigerator,Appliance,28788,14,5,0,4,1,1,16800,29415
Asus ZenBook,Laptop,187970,18,4,4,5,3,1,39300,145590
HP Printer,Printer,163751,4,4,4,3,3,5,39500,147476
Apple Watch,Wearable,77046,45,5,0,2,5,0,33000,57720
Apple Watch,Wearable,73562,16,5,4,0,3,5,36000,73907
MacBook Pro,Laptop,26146,22,5,3,4,5,5,49000,40449
iPhone 13,Phone,155762,39,0,0,5,5,2,34100,111286
Apple Watch,Wearable,41322,11,0,1,5,5,4,38700,50135
Lenovo Monitor,Monitor,18537,53,4,2,5,0,5,21500,21038
Sony Headphones,Audio,130733,17,0,0,0,2,1,10800,119791
LG Microwave,Appliance,50011,42,2,3,0,5,3,38400,51707
Canon DSLR,Camera,14222,33,1,5,2,0,5,23000,22522
Canon DSLR,Camera,181274,58,5,0,4,1,2,17600,101250
LG Microwave,Appliance,80026,27,1,0,4,1,1,12800,66019
Canon DSLR,Camera,42734,58,0,1,1,2,2,16100,35827
Philips Air Purifier,Appliance,46771,9,4,3,0,0,1,13800,47825
Sharp LED,TV,195848,6,3,0,1,5,3,31900,170670
Apple Watch,Wearable,175164,31,5,5,5,1,4,35700,127328
Samsung TV,TV,57308,57,2,5,0,5,4,45200,55552
Lenovo Monitor,Monitor,183651,60,2,1,2,1,1,13800,117091
Sony PlayStation,Gaming Console,154266,28,1,1,5,5,1,37300,117380
Lenovo Monitor,Monitor,186046,6,3,1,1,0,0,7500,169331
MacBook Pro,Laptop,159046,58,3,1,4,1,2,18600,96775
Xiaomi Tablet,Tablet,45810,22,2,0,0,2,2,13600,43906
Apple Watch,Wearable,98544,11,5,4,5,1,2,31100,86994
GoPro Camera,Camera,34955,35,1,5,4,1,1,27800,38543
Samsung TV,TV,142095,11,1,0,4,5,5,36000,123861
LG Microwave,Appliance,83261,5,1,0,0,3,0,16000,82519
Apple Watch,Wearable,87513,20,3,2,2,0,4,15200,77610
Samsung Refrigerator,Appliance,174818,19,2,2,0,0,2,9600,156018
iPhone 13,Phone,74194,33,3,4,5,2,0,32500,63363
Lenovo Monitor,Monitor,89585,56,0,1,2,2,1,16800,65734
Sony Headphones,Audio,51400,46,0,4,1,0,0,13500,45300
Dell Laptop,Laptop,16130,21,1,3,0,5,0,35000,30001
HP Printer,Printer,63317,60,5,2,5,4,1,39300,46243
Dell Laptop,Laptop,148207,34,0,2,0,0,4,9200,127612
Philips Air Purifier,Appliance,85748,39,1,2,3,4,5,35500,73057
Canon DSLR,Camera,54626,47,5,5,1,1,1,27300,47791
Sony PlayStation,Gaming Console,25670,50,4,2,4,5,5,45000,35078
Asus ZenBook,Laptop,105713,15,0,5,2,2,1,28800,103727
Lenovo Monitor,Monitor,196049,49,4,5,4,5,3,52400,123244
Bose Speaker,Audio,194275,10,4,0,2,0,1,7800,165148
Samsung Refrigerator,Appliance,109339,31,1,0,3,0,3,7900,87594
MacBook Pro,Laptop,84004,50,5,2,0,1,2,17600,61723
Panasonic VCR,Appliance,182336,19,4,5,2,4,4,45200,151147
Sony PlayStation,Gaming Console,102584,49,0,2,1,5,5,36500,83391
HP Printer,Printer,195534,17,4,5,4,1,0,30000,158717
Apple Watch,Wearable,119579,3,5,5,5,5,2,54100,108962
Apple Watch,Wearable,86259,58,1,5,5,0,3,25900,63843
Philips Air Purifier,Appliance,57245,15,1,0,5,2,0,18500,53042
Asus ZenBook,Laptop,39054,14,4,5,4,2,0,35000,46009
Sharp LED,TV,77850,2,4,2,2,0,2,14600,75030
Samsung Refrigerator,Appliance,155738,26,1,4,5,2,4,33700,127424
Asus ZenBook,Laptop,37986,54,5,3,4,2,4,33200,35973
Canon DSLR,Camera,49705,43,3,1,1,0,3,9900,39992
Sony PlayStation,Gaming Console,140753,37,4,4,5,3,0,38500,100183
GoPro Camera,Camera,29819,56,2,1,1,4,3,28900,31745
Dell Laptop,Laptop,96328,18,0,2,4,0,3,14400,87152
Samsung Refrigerator,Appliance,138482,51,3,1,0,2,3,18400,98521
LG Microwave,Appliance,93290,2,0,2,3,2,5,24500,95278
Bose Speaker,Audio,159172,60,5,2,1,4,3,34900,97036
MacBook Pro,Laptop,47324,58,0,0,3,1,3,11900,35764
Sony PlayStation,Gaming Console,61910,25,5,0,5,2,3,24900,51763
Canon DSLR,Camera,90594,38,0,2,5,2,3,25900,73648
HP Printer,Printer,133327,28,4,3,3,5,3,44900,105113
Microsoft Xbox,Gaming Console,134398,55,4,4,5,4,3,45900,85445
HP Printer,Printer,140329,10,5,2,5,3,5,37500,115577
Sony Headphones,Audio,156466,55,3,0,0,0,5,7000,107550
GoPro Camera,Camera,190888,17,1,5,4,0,3,24400,167774
Sony PlayStation,Gaming Console,113801,25,4,2,3,5,5,43500,94014
GoPro Camera,Camera,106606,42,3,3,4,4,5,42000,81765
Sony PlayStation,Gaming Console,37042,49,1,2,3,3,2,28100,36831
Xiaomi Tablet,Tablet,140229,35,2,2,1,2,2,21100,112216
GoPro Camera,Camera,80195,20,4,1,4,5,5,42000,72325
Panasonic VCR,Appliance,155233,2,2,4,4,0,0,20000,145053
Sony Headphones,Audio,42388,56,1,2,1,1,2,15100,35526
Philips Air Purifier,Appliance,11960,25,4,3,4,3,5,38000,26834
GoPro Camera,Camera,149268,21,5,0,5,5,3,39900,108764
Canon DSLR,Camera,169130,48,1,3,0,5,5,39000,127743
Xiaomi Tablet,Tablet,159632,11,4,0,5,1,0,16500,127176
Asus ZenBook,Laptop,49915,26,5,4,5,0,2,26100,46493
LG Microwave,Appliance,167601,56,2,5,3,2,0,31500,112959
Canon DSLR,Camera,111532,6,5,4,5,5,3,51900,100676
Samsung Refrigerator,Appliance,188255,19,4,0,5,1,3,18900,142170
Asus ZenBook,Laptop,159919,50,1,3,1,0,4,14700,120892
Apple Watch,Wearable,9315,17,4,0,5,5,5,40500,26165
Xiaomi Tablet,Tablet,129258,39,4,0,1,3,0,20500,93621
Bose Speaker,Audio,13385,40,2,2,2,4,0,31000,24066
Sony PlayStation,Gaming Console,10671,50,2,3,3,1,0,20500,16973
LG Microwave,Appliance,147584,11,3,1,4,2,1,22800,124302
Sony PlayStation,Gaming Console,81416,50,0,4,0,1,3,19400,69134
Asus ZenBook,Laptop,3244,13,1,0,4,2,1,17800,11479
